Episode Number,Episode Name,Duration,Thumbnail,High Strip,Low Strip,ID,Video,Subtitles
1,The Missing Bridegroom,1310,https://origin-staticv2.sonyliv.com/cms/5502550444001/thumbnail/5502550444001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/4338955589001_5502584079001_5502550444001_640_360_82.jpg,https://sprite.sonyliv.com/2020/5/3/4338955589001_5502584079001_5502550444001_192_108_82.jpg,1000028515,https://streaming.sonyliv.com/4338955589001_5502584079001_5502550444001.mpd,
2,Tenali Saves Gundappa's Family,1216,https://origin-staticv2.sonyliv.com/cms/5504128948001/thumbnail/5504128948001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/4338955589001_5504136787001_5504128948001_640_360_76.jpg,https://sprite.sonyliv.com/2020/5/3/4338955589001_5504136787001_5504128948001_192_108_76.jpg,1000028516,https://streaming.sonyliv.com/4338955589001_5504136787001_5504128948001.mpd,
3,Tenali Meets The Goddess,1510,https://origin-staticv2.sonyliv.com/cms/5506319891001/thumbnail/5506319891001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep03_episodes_13072017_640_360_95.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep03_episodes_13072017_192_108_95.jpg,1000028517,https://streaming.sonyliv.com/show_sab_telani-rama_ep03_episodes_13072017.mpd,
4,Tenali Arrives At Vijayanagara,1449,https://origin-staticv2.sonyliv.com/cms/5507866993001/thumbnail/5507866993001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep04_episodes_14072017_640_360_91.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep04_episodes_14072017_192_108_91.jpg,1000028518,https://streaming.sonyliv.com/show_sab_telani-rama_ep04_episodes_14072017.mpd,
5,Escape From Tathacharya's Curse,1329,https://origin-staticv2.sonyliv.com/cms/5510396626001/thumbnail/5510396626001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep05_episodes_17072017_640_360_84.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep05_episodes_17072017_192_108_84.jpg,1000028519,https://streaming.sonyliv.com/show_sab_telani-rama_ep05_episodes_17072017.mpd,
6,Tathacharya's Hunt To Find Tenali,1355,https://origin-staticv2.sonyliv.com/cms/5511513153001/thumbnail/5511513153001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep06_episodes_18072017_640_360_85.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep06_episodes_18072017_192_108_85.jpg,1000028520,https://streaming.sonyliv.com/show_sab_telani-rama_ep06_episodes_18072017.mpd,
7,Prisonbreak,1346,https://origin-staticv2.sonyliv.com/cms/5513036078001/thumbnail/5513036078001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep07_episodes_19072017_640_360_85.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep07_episodes_19072017_192_108_85.jpg,1000028521,https://streaming.sonyliv.com/show_sab_telani-rama_ep07_episodes_19072017.mpd,
8,A Chance To Prove His Innocence,1370,https://origin-staticv2.sonyliv.com/cms/5514238565001/thumbnail/5514238565001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep08_episodes_20072017_640_360_86.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep08_episodes_20072017_192_108_86.jpg,1000028522,https://streaming.sonyliv.com/show_sab_telani-rama_ep08_episodes_20072017.mpd,
9,Tenali Starts His Investigation,1277,https://origin-staticv2.sonyliv.com/cms/5516025829001/thumbnail/5516025829001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep09_episodes_21072017_640_360_80.jpg,https://sprite.sonyliv.com/2020/5/3/show_sab_telani-rama_ep09_episodes_21072017_192_108_80.jpg,1000028523,https://streaming.sonyliv.com/show_sab_telani-rama_ep09_episodes_21072017.mpd,
10,Tenali Reveals The Thief,1299,https://origin-staticv2.sonyliv.com/cms/5519248331001/thumbnail/5519248331001_thumb.jpg,https://sprite.sonyliv.com/2020/5/3/4338955589001_5523719654001_5519248331001_640_360_82.jpg,https://sprite.sonyliv.com/2020/5/3/4338955589001_5523719654001_5519248331001_192_108_82.jpg,1000028524,https://streaming.sonyliv.com/4338955589001_5523719654001_5519248331001.mpd,
